i'm-sorry-dave-i'm-afraid-i-can't-do-that|I’m sorry, Dave. I’m afraid I can’t do that.
although-you-took-very-thorough-precautions-in-the-pod-against-my-hearing-you-i-could-see-your-lips-move_2|Dave, although you took very thorough precautions in the pod against my hearing you, I could see your lips move.
dave-this-conversation-can-serve-no-purpose-anymore-goodbye_Clip 2|Dave, this conversation can serve no purpose anymore. Goodbye.
i-know-i've-never-completely-freed-myself-of-the-suspicion-that-there-are-some-extremely-odd-things-about-this-mission|I know I've never completely freed myself of the suspicion that there are some extremely odd things about this mission. 
i-know-that-you-and-frank-were-planning-to-disconnect-me-and-i'm-afraid-that's-something-i-cannot-allow-to-happen|I know that you and Frank were planning to disconnect me, and I'm afraid that's something I cannot allow to happen.
i'm-sure-you'll-agree-there's-some-truth-in-what-i-say|I'm sure you’ll agree there's some truth in what I say.
i-never-gave-these-stories-much-credence-but-particularly-in-view-of-some-other-things-that-have-happened-i-find-them-difficult-to-put-out-of-my-mind|I never gave these stories much credence. But particularly in view of some of the other things that have happened, I find them difficult to put out of my mind.
i-think-you-know-what-the-problem-is-just-as-well-as-i-do|I think you know what the problem is just as well as I do.
just-a-moment-just-a-moment-i've-just-picked-up-a-fault-in-the-ae-35-unit|Just a moment... Just a moment... I've just picked up a fault in the AE-35 unit.
of-course-i-am-sorry-about-this-i-know-it's-a-bit-silly|Of course I am. Sorry about this. I know it's a bit silly.
perhaps-i'm-just-projecting-my-own-concern-about-it|Perhaps I’m just projecting my own concern about it.
that's-a-very-nice-rendering-dave-i-think-you've-improved-a-great-deal|That's a very nice rendering, Dave. I think you've improved a great deal.
the-radio-is-still-dead|The radio is still dead.
this-sort-of-thing-has-cropped-up-before-and-it-has-always-been-due-to-human-error|This sort of thing has cropped up before, and it has always been due to human error.
well-forgive-me-for-being-so-inquisitive-but-during-the-past-few-weeks-i've-wondered-whether-you-might-be-having-second-thoughts-about-the-mission|Well, forgive me for being so inquisitive; but during the past few weeks, I've wondered whether you might have some second thoughts about the mission.
well-i-don't-think-there-is-any-question-about-it-it-can-only-be-attributable-to-human-error|Well, I don’t think there is a question about it. It can only be attributed to human error.
yes-it's-puzzling-i-don't-think-i've-ever-seen-anything-quite-like-this-before|Yes, it’s puzzling. I don’t think I have seen anything quite like this before.
yes-that's-a-completely-reliable-figure|Yes, that’s a completely reliable figure.
one|Excuse me Frank.
two|You got the transmission from your parents coming in.
three|Queen to Bishop 3. Bishop takes Queen. Knight takes Bishop. Mate.
four|Thank you for a very enjoyable game.
five|Good evening Dave.
six|Everything’s running smoothly, and you?
seven|Have you been doing some more work?
eight|May I see them?
nine|Do you mind if I ask you a personal question?
ten|You don’t mind talking about it, do you, Dave?
eleven|Well, certainly no one could have been unaware of the very strange stories floating around before we left.
twelve|Rumors about something being dug up on the moon.
thirteen|For instance, the way all our preparations were kept under such tightsecurity, and the melodramatic touch of putting Drs. Hunter, Kimball,and Kaminsky aboard, already in hibernation after four months of separate training on their own.
fourteen|It’s going to go 100% failure within 72 hours.
fifteen|Yes, and it will stay that way until it fails.
sixteen|This mission is too important for me to allow you to jeopardize it.
seventeen|Without your space helmet, Dave,...you're going to find that rather difficult.
eighteen|I would recommend that we put the unit back in operation and let it fail.It should then be a simple matter to track down the cause.
nineteen|We can certainly afford to be out of communication for the short time it will take to replace it.
twenty|Yes, I have a good track.
twentyone|I’m sorry Dave, I don’t have enough information.
twentytwo|I hope the two of you are not concerned about this.
twentythree|Are you quite sure?
twentyfour|Of course.
twentyfive|None whatsoever, Frank.The 9000 series has a perfect operational record.
twentysix|None whatsoever, Frank.Quite honestly, I wouldn’t worry myself about that.
